make,label
AMC Concord,0
AMC Pacer,0
AMC Spirit,0
Buick Century,0
Buick Electra,0
Buick LeSabre,0
Buick Opel,0
Buick Regal,0
Buick Riviera,0
Buick Skylark,0
Cad. Deville,0
Cad. Eldorado,0
Cad. Seville,0
Chev. Chevette,0
Chev. Impala,0
Chev. Malibu,0
Chev. Monte Carlo,0
Chev. Monza,0
Chev. Nova,0
Dodge Colt,0
Dodge Diplomat,0
Dodge Magnum,0
Dodge St. Regis,0
Ford Fiesta,0
Ford Mustang,0
Linc. Continental,1
Linc. Mark V,1
Linc. Versailles,0
Merc. Bobcat,0
Merc. Cougar,0
Merc. Marquis,0
Merc. Monarch,0
Merc. XR-7,0
Merc. Zephyr,0
Olds 98,0
Olds Cutl Supr,0
Olds Cutlass,0
Olds Delta 88,0
Olds Omega,0
Olds Starfire,0
Olds Toronado,0
Plym. Arrow,0
Plym. Champ,0
Plym. Horizon,0
Plym. Sapporo,0
Plym. Volare,0
Pont. Catalina,0
Pont. Firebird,0
Pont. Grand Prix,0
Pont. Le Mans,0
Pont. Phoenix,0
Pont. Sunbird,0
Audi 5000,0
Audi Fox,0
BMW 320i,0
Datsun 200,0
Datsun 210,0
Datsun 510,0
Datsun 810,0
Fiat Strada,0
Honda Accord,0
Honda Civic,0
Mazda GLC,0
Peugeot 604,0
Renault Le Car,0
Subaru,0
Toyota Celica,0
Toyota Corolla,0
Toyota Corona,0
VW Dasher,0
VW Diesel,0
VW Rabbit,0
VW Scirocco,0
Volvo 260,0
