"date","gnp96"
"1967q1",3631.6
"1967q2",3644.5
"1967q3",3672
"1967q4",3703.1
"1968q1",3757.5
"1968q2",3818.3
"1968q3",3841.6
"1968q4",3861.8
"1969q1",3906.8
"1969q2",3915
"1969q3",3937.8
"1969q4",3922.9
"1970q1",3922
"1970q2",3922.3
"1970q3",3961.3
"1970q4",3931
"1971q1",4027.3
"1971q2",4042
"1971q3",4064.7
"1971q4",4072.9
"1972q1",4149.8
"1972q2",4232.5
"1972q3",4272.8
"1972q4",4343.9
"1973q1",4439.6
"1973q2",4475.9
"1973q3",4471.4
"1973q4",4495.1
"1974q1",4475.4
"1974q2",4492.4
"1974q3",4442.4
"1974q4",4430.2
"1975q1",4361.7
"1975q2",4403.2
"1975q3",4471.7
"1975q4",4531.8
"1976q1",4620.6
"1976q2",4655.6
"1976q3",4677
"1976q4",4720.7
"1977q1",4791.9
"1977q2",4852.2
"1977q3",4924.3
"1977q4",4922.2
"1978q1",4958.8
"1978q2",5107.7
"1978q3",5155.2
"1978q4",5227.4
"1979q1",5236.7
"1979q2",5244.9
"1979q3",5280.1
"1979q4",5296.6
"1980q1",5310
"1980q2",5190.1
"1980q3",5179.2
"1980q4",5253.7
"1981q1",5330.3
"1981q2",5306.6
"1981q3",5341.8
"1981q4",5286.2
"1982q1",5206.1
"1982q2",5236.8
"1982q3",5212.8
"1982q4",5221.7
"1983q1",5255
"1983q2",5365.6
"1983q3",5448.3
"1983q4",5540.5
"1984q1",5641.4
"1984q2",5707.5
"1984q3",5749.5
"1984q4",5787.3
"1985q1",5818.1
"1985q2",5870.3
"1985q3",5954.9
"1985q4",5996.7
"1986q1",6038.3
"1986q2",6042.6
"1986q3",6097.5
"1986q4",6126
"1987q1",6157.2
"1987q2",6221
"1987q3",6266.3
"1987q4",6372
"1988q1",6423.8
"1988q2",6485.4
"1988q3",6504.8
"1988q4",6581
"1989q1",6668
"1989q2",6691.3
"1989q3",6727.1
"1989q4",6748.5
"1990q1",6830.4
"1990q2",6853.2
"1990q3",6837.5
"1990q4",6804.6
"1991q1",6747.1
"1991q2",6766.9
"1991q3",6781.2
"1991q4",6821
"1992q1",6883.4
"1992q2",6937.5
"1992q3",6980.2
"1992q4",7067.7
"1993q1",7065.9
"1993q2",7096.8
"1993q3",7118.6
"1993q4",7213
"1994q1",7278.2
"1994q2",7369.2
"1994q3",7403.2
"1994q4",7494.8
"1995q1",7519
"1995q2",7531.4
"1995q3",7572.7
"1995q4",7645.4
"1996q1",7703.3
"1996q2",7819.6
"1996q3",7853.8
"1996q4",7948.2
"1997q1",8024.3
"1997q2",8148.8
"1997q3",8233.2
"1997q4",8289.6
"1998q1",8432.1
"1998q2",8476.3
"1998q3",8560
"1998q4",8731.6
"1999q1",8843.8
"1999q2",8910.8
"1999q3",9031.1
"1999q4",9204.7
"2000q1",9273.2
"2000q2",9421.8
"2000q3",9438.8
"2000q4",9482.5
"2001q1",9462.8
"2001q2",9436.4
"2001q3",9405.7
"2001q4",9538
"2002q1",9659
"2002q2",9678.4
